open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786
9.44,9.51,8.46,8.95,2417791.36,2024-10-25 23:00:00+03:00,2024-10-26 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
8.95,8.95,8.7,8.89,1177504.24,2024-10-26 03:00:00+03:00,2024-10-26 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
8.89,9.17,8.81,9.12,757304.62,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
9.12,9.33,9.11,9.26,691280.87,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
9.26,9.28,8.91,9.02,744406.94,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,-12.769224167584634,-0.31923060418961585,,,55.22388059701496,0.5223880597014962,,,8.46,9.51,53.333333333333265,0.3333333333333265,,,,,,,,
9.03,9.32,8.96,9.26,664993.94,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,62.745580513816094,1.5686395128454025,,,67.0329670329671,1.7032967032967095,,,8.7,9.33,88.88888888888886,3.8888888888888857,,,,,,,,
9.26,9.32,9.22,9.31,235023.08,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,64.26617454707198,1.6066543636767996,,,73.33333333333331,2.3333333333333317,,,8.81,9.33,96.15384615384623,4.615384615384623,,,,,,,,
9.31,9.39,9.22,9.36,288635.2,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,60.12275431738117,1.5030688579345295,,,66.66666666666666,1.6666666666666659,,,8.91,9.39,93.74999999999977,4.374999999999978,,,,,,,,
9.36,9.37,9.09,9.18,475149.23,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,-23.06351210785338,-0.5765878026963346,,,44.73684210526315,-0.526315789473685,,,8.91,9.39,56.24999999999986,0.6249999999999858,,,,,,,,
9.18,9.25,9.1,9.19,289797.64,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,-60.49901419820261,-1.5124753549550654,,,66.03773584905662,1.6037735849056618,,,8.96,9.39,53.488372093022974,0.34883720930229745,,,,,,,,
9.2,9.32,9.16,9.22,310057.8,2024-10-27 15:00:00+03:00,2024-10-27 18:59:59.999000+03:00,,,,-26.9416970817432,-0.67354242704358,,,43.750000000000135,-0.6249999999999866,,,9.09,9.39,43.33333333333349,-0.6666666666666509,,,,,,,,
9.23,9.26,9.07,9.1,333778.96,2024-10-27 19:00:00+03:00,2024-10-27 22:59:59.999000+03:00,,,,-77.30012058189327,-1.9325030145473319,,,23.07692307692301,-2.692307692307699,,,9.07,9.39,9.374999999999792,-4.06250000000002,,,,,,,,
9.1,9.27,9.08,9.2,343150.97,2024-10-27 23:00:00+03:00,2024-10-28 02:59:59.999000+03:00,,,,31.853964469289,0.796349111732225,0.0511525158618921,0.051107947626595186,31.818181818181856,-1.8181818181818146,0.2408503386600755,0.2362987689071438,9.07,9.37,43.33333333333316,-0.6666666666666843,0.9767345237306377,0.7516488274309251,0.34635184798822133,,,,,
9.2,9.21,8.71,8.73,702780.82,2024-10-28 03:00:00+03:00,2024-10-28 06:59:59.999000+03:00,,,,-116.22243416777786,-2.9055608541944467,-0.23621751191642243,-0.2319198634151051,19.178082191780902,-3.08219178082191,-0.15965853250919185,-0.15831561329990113,8.71,9.32,3.278688524590097,-4.67213114754099,0.4205718036334915,0.397412036461189,0.002392186582060918,,,,,
8.73,9.18,8.71,9.11,960216.38,2024-10-28 07:00:00+03:00,2024-10-28 10:59:59.999000+03:00,,,,12.767610644882545,0.31919026612206364,-0.3750452059967934,-0.35839679835404004,46.36363636363636,-0.36363636363636404,-0.3893177621684223,-0.37077192742738935,8.71,9.32,65.5737704918031,1.5573770491803103,0.16151493255476096,0.16012495100639249,-0.18968125825834567,,,,,
9.11,9.27,8.97,9.0,832087.4,2024-10-28 11:00:00+03:00,2024-10-28 14:59:59.999000+03:00,,,,-10.311659210239933,-0.25779148025599835,-0.5822058553226599,-0.524266842418282,40.67796610169488,-0.9322033898305122,-0.7521551758532938,-0.6364329401312742,8.71,9.27,51.78571428571425,0.17857142857142494,-0.33146431042448327,-0.31983591066663797,-0.4935118977387314,,,,,
9.0,9.1,8.81,8.86,1129522.49,2024-10-28 15:00:00+03:00,2024-10-28 18:59:59.999000+03:00,,,,-42.37017130658994,-1.0592542826647484,-0.8669084265003575,-0.6997999735000255,39.99999999999997,-1.0000000000000029,-1.0484514721495901,-0.7812035935257012,8.71,9.27,26.785714285714093,-2.3214285714285907,-1.075511929472102,-0.7915288277527235,-0.7575107982594833,,,,,
8.86,9.12,8.73,9.02,690937.81,2024-10-28 19:00:00+03:00,2024-10-28 22:59:59.999000+03:00,,,,33.90611039382256,0.847652759845564,-0.708659475106813,-0.6098355365659173,42.857142857142854,-0.7142857142857146,-1.0693370193509268,-0.7892113115799879,8.71,9.27,55.357142857142755,0.5357142857142755,-1.0854325643927365,-0.795205019680399,-0.7314172892754348,,,,,
9.02,9.31,9.01,9.21,594695.18,2024-10-28 23:00:00+03:00,2024-10-29 02:59:59.999000+03:00,,,,86.79515252098001,2.1698788130245004,-0.2995090119979724,-0.2908632269431755,74.48979591836735,2.448979591836735,-0.97542524080303,-0.7510786971305519,8.71,9.31,83.33333333333339,3.333333333333339,-0.7538218839448431,-0.6374235016450218,-0.5597884752395831,,,,,
9.21,9.82,9.2,9.78,1432929.8,2024-10-29 03:00:00+03:00,2024-10-29 06:59:59.999000+03:00,,,,111.92896558722875,2.798224139680719,0.08624282874917183,0.08602964327732417,78.63247863247864,2.8632478632478637,-0.5878421448866021,-0.5283418809810073,8.73,9.82,96.33027522935771,4.633027522935771,-0.16496697398901836,-0.1634866105612419,-0.20193294942164167,,,,,
9.78,9.85,9.5,9.64,766572.06,2024-10-29 07:00:00+03:00,2024-10-29 10:59:59.999000+03:00,,,,56.956136425846445,1.4239034106461612,0.4591768759928933,0.4294131052132432,76.66666666666671,2.6666666666666714,0.007599450554994607,0.007599304264774292,8.73,9.85,81.25000000000007,3.125000000000007,0.6336441371220958,0.5605563835996068,0.33252293102587477,,,,,
9.63,9.8,9.54,9.79,582712.88,2024-10-29 11:00:00+03:00,2024-10-29 14:59:59.999000+03:00,,,,57.181742212199694,1.4295435553049924,0.5295318141676453,0.48502312560113964,88.42975206611578,3.8429752066115785,0.6366168977542606,0.5625916355634291,8.73,9.85,94.6428571428571,4.46428571428571,1.2037499572279176,0.8347948490174897,0.6274698700606861,,,,,
9.79,10.2,9.78,9.95,1523143.42,2024-10-29 15:00:00+03:00,2024-10-29 18:59:59.999000+03:00,,,,65.32795988024762,1.6331989970061906,1.0338384643010494,0.7754432497526823,88.42975206611578,3.8429752066115785,1.4060798963579815,0.8866587805521078,9.01,10.2,78.99159663865545,2.8991596638655452,2.0450044918286436,0.9670730014088388,0.8763916772378764,,,,,
9.96,10.11,9.83,9.86,1046327.57,2024-10-29 19:00:00+03:00,2024-10-29 22:59:59.999000+03:00,,,,32.70578369126114,0.8176445922815285,1.0892222783187677,0.7965941113112933,79.27927927927932,2.927927927927932,1.7718092620873476,0.9438073832755455,9.2,10.2,66.00000000000001,1.6000000000000014,2.0497403752530534,0.96737834294792,0.9025932791782529,,,,,
