open_time,open,high,low,close,volume,close_time
2024-10-24 15:00:00+03:00,4.609,4.673,4.606,4.634,1145545.0,2024-10-24 18:59:59.999000+03:00
2024-10-24 19:00:00+03:00,4.634,4.708,4.613,4.699,655149.3,2024-10-24 22:59:59.999000+03:00
2024-10-24 23:00:00+03:00,4.699,4.78,4.687,4.719,1033191.7,2024-10-25 02:59:59.999000+03:00
2024-10-25 03:00:00+03:00,4.719,4.739,4.63,4.655,790843.2,2024-10-25 06:59:59.999000+03:00
2024-10-25 07:00:00+03:00,4.655,4.658,4.514,4.549,2143545.2,2024-10-25 10:59:59.999000+03:00
2024-10-25 11:00:00+03:00,4.55,4.602,4.516,4.594,1098126.4,2024-10-25 14:59:59.999000+03:00
2024-10-25 15:00:00+03:00,4.594,4.618,4.478,4.502,1834974.4,2024-10-25 18:59:59.999000+03:00
2024-10-25 19:00:00+03:00,4.501,4.536,4.362,4.445,2726628.6,2024-10-25 22:59:59.999000+03:00
2024-10-25 23:00:00+03:00,4.444,4.475,3.97,4.172,6711953.5,2024-10-26 02:59:59.999000+03:00
2024-10-26 03:00:00+03:00,4.172,4.241,4.099,4.214,2958722.6,2024-10-26 06:59:59.999000+03:00
2024-10-26 07:00:00+03:00,4.214,4.252,4.191,4.22,1623332.5,2024-10-26 10:59:59.999000+03:00
2024-10-26 11:00:00+03:00,4.219,4.266,4.217,4.263,1112575.7,2024-10-26 14:59:59.999000+03:00
2024-10-26 15:00:00+03:00,4.263,4.27,4.127,4.165,1582215.6,2024-10-26 18:59:59.999000+03:00
2024-10-26 19:00:00+03:00,4.165,4.244,4.148,4.238,1178532.0,2024-10-26 22:59:59.999000+03:00
2024-10-26 23:00:00+03:00,4.238,4.276,4.216,4.237,754050.0,2024-10-27 02:59:59.999000+03:00
2024-10-27 03:00:00+03:00,4.237,4.265,4.205,4.258,441099.8,2024-10-27 06:59:59.999000+03:00
2024-10-27 07:00:00+03:00,4.257,4.267,4.23,4.241,452606.1,2024-10-27 10:59:59.999000+03:00
2024-10-27 11:00:00+03:00,4.241,4.256,4.188,4.194,651489.8,2024-10-27 14:59:59.999000+03:00
2024-10-27 15:00:00+03:00,4.195,4.291,4.193,4.286,828745.1,2024-10-27 18:59:59.999000+03:00
2024-10-27 19:00:00+03:00,4.286,4.343,4.27,4.298,746793.0,2024-10-27 22:59:59.999000+03:00
2024-10-27 23:00:00+03:00,4.299,4.382,4.294,4.308,837518.8,2024-10-28 02:59:59.999000+03:00
2024-10-28 03:00:00+03:00,4.308,4.322,4.18,4.186,1028443.3,2024-10-28 06:59:59.999000+03:00
2024-10-28 07:00:00+03:00,4.185,4.265,4.14,4.235,1184484.5,2024-10-28 10:59:59.999000+03:00
2024-10-28 11:00:00+03:00,4.236,4.265,4.205,4.253,1065256.1,2024-10-28 14:59:59.999000+03:00
2024-10-28 15:00:00+03:00,4.253,4.261,4.139,4.142,1856237.4,2024-10-28 18:59:59.999000+03:00
2024-10-28 19:00:00+03:00,4.141,4.247,4.072,4.229,1668101.3,2024-10-28 22:59:59.999000+03:00
2024-10-28 23:00:00+03:00,4.229,4.359,4.221,4.297,1210053.8,2024-10-29 02:59:59.999000+03:00
2024-10-29 03:00:00+03:00,4.298,4.48,4.287,4.41,1782911.1,2024-10-29 06:59:59.999000+03:00
2024-10-29 07:00:00+03:00,4.41,4.463,4.409,4.438,1128982.1,2024-10-29 10:59:59.999000+03:00
2024-10-29 11:00:00+03:00,4.437,4.49,4.437,4.479,1153070.8,2024-10-29 14:59:59.999000+03:00
2024-10-29 15:00:00+03:00,4.477,4.514,4.426,4.467,1696751.0,2024-10-29 18:59:59.999000+03:00
2024-10-29 19:00:00+03:00,4.467,4.519,4.357,4.374,3031735.3,2024-10-29 22:59:59.999000+03:00
2024-10-29 23:00:00+03:00,4.376,4.453,4.327,4.438,1059586.3,2024-10-30 02:59:59.999000+03:00
2024-10-30 03:00:00+03:00,4.438,4.44,4.346,4.405,941239.0,2024-10-30 06:59:59.999000+03:00
2024-10-30 07:00:00+03:00,4.405,4.437,4.36,4.371,2129515.3,2024-10-30 10:59:59.999000+03:00
2024-10-30 11:00:00+03:00,4.371,4.394,4.295,4.297,1673367.5,2024-10-30 14:59:59.999000+03:00
2024-10-30 15:00:00+03:00,4.296,4.421,4.266,4.327,2060634.6,2024-10-30 18:59:59.999000+03:00
2024-10-30 19:00:00+03:00,4.328,4.365,4.31,4.31,931762.4,2024-10-30 22:59:59.999000+03:00
2024-10-30 23:00:00+03:00,4.31,4.366,4.29,4.31,954247.8,2024-10-31 02:59:59.999000+03:00
2024-10-31 03:00:00+03:00,4.31,4.332,4.245,4.26,1008686.5,2024-10-31 06:59:59.999000+03:00
2024-10-31 07:00:00+03:00,4.261,4.291,4.233,4.256,1038303.3,2024-10-31 10:59:59.999000+03:00
2024-10-31 11:00:00+03:00,4.256,4.259,4.19,4.223,1875267.4,2024-10-31 14:59:59.999000+03:00
2024-10-31 15:00:00+03:00,4.223,4.228,4.116,4.125,2250720.2,2024-10-31 18:59:59.999000+03:00
2024-10-31 19:00:00+03:00,4.124,4.131,4.019,4.026,2112460.6,2024-10-31 22:59:59.999000+03:00
2024-10-31 23:00:00+03:00,4.025,4.096,4.023,4.054,896650.3,2024-11-01 02:59:59.999000+03:00
2024-11-01 03:00:00+03:00,4.054,4.08,3.96,4.016,1719453.8,2024-11-01 06:59:59.999000+03:00
2024-11-01 07:00:00+03:00,4.018,4.038,3.914,3.937,1289111.0,2024-11-01 10:59:59.999000+03:00
2024-11-01 11:00:00+03:00,3.936,4.023,3.924,3.998,1345131.8,2024-11-01 14:59:59.999000+03:00
2024-11-01 15:00:00+03:00,3.999,4.162,3.914,3.964,3633582.9,2024-11-01 18:59:59.999000+03:00
2024-11-01 19:00:00+03:00,3.964,4.049,3.954,3.973,1512929.5,2024-11-01 22:59:59.999000+03:00
2024-11-01 23:00:00+03:00,3.974,3.981,3.86,3.93,1392751.1,2024-11-02 02:59:59.999000+03:00
2024-11-02 03:00:00+03:00,3.93,3.989,3.924,3.949,520792.7,2024-11-02 06:59:59.999000+03:00
2024-11-02 07:00:00+03:00,3.949,3.981,3.941,3.973,759207.1,2024-11-02 10:59:59.999000+03:00
